Class_Name	Link
CS481	https://whitman.zoom.us/j/95335303648
PHYS156	https://whitman.zoom.us/j/91332908339
PHYS156_Team	https://whitman.zoom.us/j/5035979922k
ECON101	https://whitman.zoom.us/j/95658844146
CS310	https://zoom.us/j/93486785268?pwd=Mmdjci9IQ2o3UVFoV2FncVBQOUtuZz09
MATH299	https://whitman.zoom.us/j/91455676657
PHYS156L	https://meet.google.com/arv-jwrg-cii
PHYS156L_Ruth	https://meet.google.com/yqv-puog-muy
PHYS156L_Zirc	https://meet.google.com/pbk-rcmj-vow
PHYS156L_Tech	https://meet.google.com/nmc-gjoz-ufi
CS301	https://whitman.zoom.us/j/99197344198?pwd=S2N1YzNrdnNVM1BDQTliK3JiWTNQUT09 
HNDI	https://zoom.us/j/2197923923/?pwd=hindi
Shalom	https://whitman.zoom.us/j/512612023
PHYS245	https://whitman.zoom.us/j/96154707336
CS327	https://whitman.zoom.us/j/93958700827?pwd=ZkhSUSt2eEhoYld0REJGQXBnNnNLQT09
PHIL337	 https://whitman.zoom.us/j/99959798839?pwd=UkVPYVVjalNUdXZaajdPa3dDZ0c0dz09
MATH244	https://whitman.zoom.us/j/95348422127?pwd=Q29RTVd5cnIwemFVZVVoS1VndFd5QT09
CS327OH	https://whitman.zoom.us/j/91282619569?pwd=Rjc1NUozd3JhVEdjUnFZUE5ZQ0JvZz09
MartialArts	https://whitman.zoom.us/j/91613907119?pwd=M2lGc3RxQkpmL1NVUmcyYldubzFRZz09
ACM	https://whitman.zoom.us/j/95052057631
DustinCheckIn	https://meet.google.com/jrv-ykxw-ipo
MarkLab	https://whitman.zoom.us/my/pchem
PUNC	https://roanoke-edu.zoom.us/j/89587235168?pwd=YXFBNlVDS0ZQVHZZWCtTbFZySzRUdz09
